site_cata,set,location,better_location,better_location_backup,site,ordered,Longitude (dd.ddddd),Latitude (dd.ddddd),LOI,Corg,Cinorg,d13Corg,d13Cinorg,d13seagrass,gravel,coarse sand,medium sand,fine sand,silt,clay,mud,total,org_wt,Ccontentorg,160off,160remains,160Wt Cpost,160Wt Clost,300off,300remains,300Wt Cpost,300Wt Clost,400off,400remains,400Wt Cpost,400Wt Clost,500off,500remains,500Wt Cpost,500Wt Clost,550off,550remains,550Wt Cpost,550Wt Clost,600off,600remains,600Wt Cpost,600Wt Clost
TL0,bay,bay,Eastern FL Bay,east,TL0,D7__TL0,-80.59682,25.01248,0.070999454,2.02366041,9.923243773,,1.51,,0,1,11.4,12.5,55.6,19.5,75.1,2.080233047,3.6248,0.119469042,0.0164,3.6084,0.437244061,-0.004192678,0.068568171,3.539831829,0.405634448,0.031609614,0.045885021,3.493946808,0.395915785,0.009718663,0.076329268,3.41761754,0.371236528,0.024679257,0.038266051,3.379351489,0.35965067,0.011585858,0.051805617,3.327545872,0.348376005,0.011274665
BB00,bay,bay,Eastern FL Bay,east,BB00,D8__BB00,-80.60673,25.14395,0.067950617,1.832877124,9.781029737,,-1.72,,0,7.1,16.4,27.4,27.5,21.6,49.1,1.729704853,2.1107,0.116139069,0.0104,2.1003,0.239557697,0.005577035,0.030357548,2.069942452,0.23424975,0.005307947,0.022232339,2.047710113,0.226542871,0.007706879,0.037025963,2.01068415,0.219856048,0.006686823,0.026162275,1.984521875,0.207509071,0.012346977,,,,
DKB02,bay,bay,Western FL Bay,west,DKB02,D9__DKB02,-80.8979,25.05214,0.140545934,4.764760468,7.483779457,,-4,,0,19.1,15,20.1,31.4,14.4,45.8,4.835072546,1.8619,0.122485399,0.0189,1.843,0.222481767,0.005573798,0.079845881,1.763154119,0.193565443,0.028916323,0.054455269,1.70869885,0.173090055,0.020475388,0.067674273,1.641024577,0.153002095,0.02008796,0.031682386,1.60934219,0.142666785,0.01033531,0.080900505,1.528441685,0.130937363,0.011729421
LG,bay,bay,Western FL Bay,west,LG,D10__LG,-80.67723,24.9699,0.062546278,1.822755323,10.03207065,,1.34,,0,8.9,12,30.3,35.3,13.5,48.8,1.929933378,2.0135,0.11854826,0.0094,2.0041,0.237018765,0.001678156,0.040003601,1.964096399,0.224603385,0.01241538,0.023608876,1.940487523,0.215419216,0.009184168,0.032327775,1.908159748,0.207352142,0.008067074,0.01773306,1.890426687,0.198579771,0.008772372,0.03100585,1.859420837,0.192734232,0.008058376
WB,bay,bay,Western FL Bay,west,WB,E1__WB,-80.75969,25.1008,0.13588444,4.797914711,7.250291619,,-4.59,,0,14.7,20.8,12.9,38.6,13,51.6,5.020917598,1.8757,0.120482063,0.0128,1.8629,0.220669357,0.005318849,0.078119343,1.784780657,0.192046147,0.02862321,0.072548769,1.712231889,0.168293223,0.023752924,0.068697914,1.643533975,0.148246051,0.020047172,0.040126844,1.603407131,0.136754721,0.01149133,0.105941618,1.497465514,0.118546652,0.018208069
LBts,bay,bay,Eastern FL Bay,east,LBts,E2__LBts,-80.44956,25.14555,0.172514147,6.665768709,6.583149824,,-5.51,,5.8,11.4,13.7,24.7,22.6,21.8,44.4,3.125197304,1.236,0.132489185,0.0134,1.2226,0.170704284,-0.006947651,0.091879874,1.130720126,0.125623293,0.045080991,,,0,,,,,,,,,,,,,
TWN,bay,bay,Western FL Bay,west,TWN,E3__TWN,-80.79303,25.00084,0.088257797,2.859618241,9.508531517,,-1.66,,2.5,12.1,38.5,24.7,16.1,6.1,22.2,2.797675731,2.5633,0.123681498,0.0153,2.548,0.312057903,0.00497488,0.068049864,2.479950136,0.285671772,0.026386131,0.034914621,2.445035515,0.274714795,0.010956977,0.050786479,2.394249036,0.261472181,0.013242614,0.03353579,2.360713246,0.247475463,0.013996718,0.039910969,2.320802277,0.237570204,0.009905259
UPE0,bay,bay,Eastern FL Bay,east,UPE0,E4__UPE0,-80.55831,25.03264,0.088947396,2.835543533,9.313603501,,0,,0,6.3,10.1,25.8,37.9,19.9,57.8,3.04181683,2.1625,0.12149147,0.0137,2.1488,0.255342486,0.007382819,0.061552593,2.087247407,0.232954742,0.022387743,0.036032524,2.051214883,0.220677236,0.012277506,0.050538661,2.000676222,0.204698074,0.015979162,0.022924201,1.977752021,0.198869743,0.005828331,0.055985596,1.921766426,0.188189866,0.010679877
Dck03,bay,bay,Eastern FL Bay,east,Dck03,E5__Dck03,-80.46331,25.18843,0.05248341,1.119354354,8.77073182,,-1.75,,0,7.6,26.6,39.3,19.2,7.3,26.5,1.38179438,5.0913,0.098900862,0.0179,5.0734,0.504489764,-0.000955806,0.054866544,5.018533456,0.4866822,0.017807563,0.036740372,4.981793084,0.482281628,0.004400573,0.061340184,4.9204529,0.458196342,0.024085286,0.042834209,4.877618691,0.434656085,0.023540257,0.062656152,4.814962539,0.409096313,0.025559772
SC01,bay,bay,Eastern FL Bay,east,SC01,,-80.66371,24.95237,0.067033199,2.079407911,10.18912484,,1.42,,0,7,8.4,22.3,42.8,19.5,62.3,2.257285752,1.9934,0.122685328,0.0102,1.9832,0.235034854,0.009526078,0.039412005,1.943787995,0.223081583,0.011953271,0.022163596,1.921624399,0.218144016,0.004937567,0.035293048,1.886331351,0.207169904,0.010974112,0.015464268,1.870867084,0.200538026,0.006631878,0.025327902,1.845539182,0.196341122,0.004196904
CN,bay,bay,Eastern FL Bay,east,CN,,-80.64185,24.98386,0.051556392,1.289876853,9.939860429,,0.8,,0,5.2,29.5,36.7,20.5,8.1,28.6,1.428094569,4.2085,0.112297373,0.0164,4.1921,0.47450277,-0.001899276,0.058854433,4.133245567,0.454239658,0.020263112,0.033181343,4.100064224,0.443624239,0.010615419,0.049999544,4.05006468,0.42922043,0.014403808,0.025862351,4.024202329,0.413760408,0.015460023,0.035553642,3.988648687,0.393203871,0.020556537
